Job Title,Date Published,Job Type,Company Name,Contingency,Location Full,URL,Perks (coming soon),Seniority,Seniority slug,Functional Area,Functional Area Slug,ID
Principal Software Engineer,08/29/2023,Full Time,Nike,No,OR-Portland ;,http://jobs.nike.com,remotefriendly ; paidparentalleave ; latinxintech ; womenintecherg ; lgbtqierg-2 ;,Senior Level,senior-level,Engineering,engineering,56
Principal Data Engineer,08/29/2023,Temporary,Nike,Yes,Remote ;,http://jobs.nike.com,remotefriendly ; paidparentalleave ; latinxintech ; womenintecherg ; lgbtqierg-2 ;,Senior Level,senior-level,Engineering,engineering,57
Director of Engineering - AI/ML Technology Foundation,08/29/2023,Freelance,Nike,Yes,Remote ;,http://jobs.nike.com,remotefriendly ; paidparentalleave ; latinxintech ; womenintecherg ; lgbtqierg-2 ;,Management,z-management,Engineering,engineering,58
"Principal, Responsible Technology",08/21/2023,Full Time,Omidyar Network,No,Hybrid ; CA-San Francisco ; CA-Other ; DC-Washington ; DC-Other ; MD-Baltimore ; MD-Other ; NY-New York City ; NY-Other ; VA-Arlington ; VA-Other ;,https://omidyar.com/,,Mid Level,mid-level,Business Strategy,business-strategy,59
Senior Product Manager,08/21/2023,Full Time,Orum.io,No,Remote ;,https://orum.io/,,Mid Level,mid-level,Product,product,60
LAC Software Engineering Manager,08/30/2023,Full Time,Qualtrics,No,Mexico ;,http://qualtrics.com,remotefriendly ; paidparentalleave ; womenintecherg ; lgbtqierg-2 ;,Management,z-management,Engineering,engineering,61
"Manager, Partnership Success",08/19/2023,Freelance,SoFi,Yes,CA-San Francisco ; UT-Salt Lake City ; WA-Seattle ;,http://www.sofi.com/careers,remotefriendly ; unlimitedvacation ; paidparentalleave ; latinxintech ; womenintecherg ; lgbtqierg-2 ;,Mid Level,mid-level,Business Dev / Partnerships,business-dev-partnerships,62
Sr. Data Scientist (Relay),08/19/2023,Freelance,SoFi,Yes,Remote ; CA-San Francisco ; NY-New York City ; UT-Other ; WA-Seattle ;,http://www.sofi.com/careers,remotefriendly ; unlimitedvacation ; paidparentalleave ; latinxintech ; womenintecherg ; lgbtqierg-2 ;,Mid Level,mid-level,Data & Analytics,data-analytics,63
Senior Software Engineer,08/19/2023,Full Time,SoFi,No,UT-Other ;,http://www.sofi.com/careers,remotefriendly ; unlimitedvacation ; paidparentalleave ; latinxintech ; womenintecherg ; lgbtqierg-2 ;,Senior Level,senior-level,Engineering,engineering,64
People Operations Associate,08/19/2023,Freelance,SoFi,Yes,UT-Salt Lake City ;,http://www.sofi.com/careers,remotefriendly ; unlimitedvacation ; paidparentalleave ; latinxintech ; womenintecherg ; lgbtqierg-2 ;,Junior Level,entry-level,Human Resources,human-resources,65
Privacy Manager,08/19/2023,Full Time,SoFi,No,Remote ;,http://www.sofi.com/careers,remotefriendly ; unlimitedvacation ; paidparentalleave ; latinxintech ; womenintecherg ; lgbtqierg-2 ;,Management,z-management,Legal,legal,66
Collections Associate - Credit Card,08/19/2023,Internship,SoFi,No,FL-Other ; UT-Salt Lake City ;,http://www.sofi.com/careers,remotefriendly ; unlimitedvacation ; paidparentalleave ; latinxintech ; womenintecherg ; lgbtqierg-2 ;,Junior Level,entry-level,Operations,operations,67
Facilities and Real Estate Manager,08/19/2023,Full Time,SoFi,No,CA-San Francisco ;,http://www.sofi.com/careers,remotefriendly ; unlimitedvacation ; paidparentalleave ; latinxintech ; womenintecherg ; lgbtqierg-2 ;,Management,z-management,Operations,operations,68
"Manager, Fraud Investigations",08/19/2023,Full Time,SoFi,No,CA-Other ; FL-Other ; TX-Dallas ; UT-Salt Lake City ;,http://www.sofi.com/careers,remotefriendly ; unlimitedvacation ; paidparentalleave ; latinxintech ; womenintecherg ; lgbtqierg-2 ;,Management,z-management,Operations,operations,69
Member Service Representative- SoFi Money,08/19/2023,Internship,SoFi,No,FL-Other ;,http://www.sofi.com/careers,remotefriendly ; unlimitedvacation ; paidparentalleave ; latinxintech ; womenintecherg ; lgbtqierg-2 ;,Junior Level,entry-level,Operations,operations,70
Senior Business Operations Analyst,08/19/2023,Full Time,SoFi,No,FL-Other ; UT-Salt Lake City ;,http://www.sofi.com/careers,remotefriendly ; unlimitedvacation ; paidparentalleave ; latinxintech ; womenintecherg ; lgbtqierg-2 ;,Junior Level,entry-level,Operations,operations,71
"Principal Product Manager, SoFi Bank",08/19/2023,Freelance,SoFi,Yes,CA-San Francisco ; UT-Salt Lake City ; WA-Seattle ;,http://www.sofi.com/careers,remotefriendly ; unlimitedvacation ; paidparentalleave ; latinxintech ; womenintecherg ; lgbtqierg-2 ;,Senior Level,senior-level,Product,product,72
"Senior Product Manager, Invest",08/19/2023,Freelance,SoFi,Yes,Remote ; CA-San Francisco ; NY-New York City ; UT-Salt Lake City ; WA-Seattle ;,http://www.sofi.com/careers,remotefriendly ; unlimitedvacation ; paidparentalleave ; latinxintech ; womenintecherg ; lgbtqierg-2 ;,Management,z-management,Product,product,73
"Credit Risk Manager, Risk Management – Credit Card",08/19/2023,Full Time,SoFi,No,FL-Other ; TX-Dallas ; UT-Salt Lake City ;,http://www.sofi.com/careers,remotefriendly ; unlimitedvacation ; paidparentalleave ; latinxintech ; womenintecherg ; lgbtqierg-2 ;,Management,z-management,IT & Cybersecurity,it-cybersecurity,74
"Senior Risk Data Analyst, Fraud Prevention",08/19/2023,Full Time,SoFi,No,Remote ; CA-San Francisco ; NY-New York City ; TX-Dallas ;,http://www.sofi.com/careers,remotefriendly ; unlimitedvacation ; paidparentalleave ; latinxintech ; womenintecherg ; lgbtqierg-2 ;,Junior Level,entry-level,IT & Cybersecurity,it-cybersecurity,75
"Senior Sales Manager, Mexico",08/16/2023,Internship,Sonos,No,Remote ;,https://www.sonos.com/en-us/life-at-sonos,remotefriendly ; unlimitedvacation ; paidparentalleave ; latinxintech ; womenintecherg ; lgbtqierg-2 ;,Mid Level,mid-level,Sales,sales,76
Senior QA Engineer,08/16/2023,Freelance,Sovos,Yes,MA-Other ;,https://hrbrg.co/gpi756,,Senior Level,senior-level,IT & Cybersecurity,it-cybersecurity,77
Software Engineer III - .NET,08/15/2023,Freelance,Sovos,Yes,MN-Other ;,https://hrbrg.co/gpi756,,Mid Level,mid-level,IT & Cybersecurity,it-cybersecurity,78
"Manager, UX",08/15/2023,Full Time,Sovos,No,GA-Atlanta ;,https://hrbrg.co/gpi756,,Management,z-management,IT & Cybersecurity,it-cybersecurity,79
Senior Policy Admin & Billing Developer,08/28/2023,Internship,State Compensation Insurance Fund,No,CA-Other ;,http://statefundca.com,remotefriendly ; paidparentalleave ; latinxintech ; womenintecherg ; lgbtqierg-2 ;,Senior Level,senior-level,IT & Cybersecurity,it-cybersecurity,80
Senior Director Product Management,08/16/2023,Full Time,The Home Depot,No,Remote ;,http://careers.homedepot.com/technology,remotefriendly ; paidparentalleave ; latinxintech ; lgbtqierg-2 ;,Senior Level,senior-level,Product,product,81
Sr. Product Manager,08/15/2023,Temporary,The Home Depot,Yes,Remote ;,http://careers.homedepot.com/technology,remotefriendly ; paidparentalleave ; latinxintech ; lgbtqierg-2 ;,Mid Level,mid-level,Product,product,82
Product Manager,08/15/2023,Temporary,The Home Depot,Yes,Remote ;,http://careers.homedepot.com/technology,remotefriendly ; paidparentalleave ; latinxintech ; lgbtqierg-2 ;,Junior Level,entry-level,Product,product,83
Staff Systems Engineer,08/15/2023,Internship,The Home Depot,No,Remote ;,http://careers.homedepot.com/technology,remotefriendly ; paidparentalleave ; latinxintech ; lgbtqierg-2 ;,Mid Level,mid-level,Engineering,engineering,84
Sr. Systems Engineer,08/15/2023,Full Time,The Home Depot,No,Remote ;,http://careers.homedepot.com/technology,remotefriendly ; paidparentalleave ; latinxintech ; lgbtqierg-2 ;,Senior Level,senior-level,Engineering,engineering,85
